Stock Code,Investment_2019,Predicted_Investment_2019
657,10910.90912,35400.16364100238
581,214565.7805,14865.559535440814
599,53785.05282,52426.058101011906
807,209345.9297,187845.60127907095
601500,54723.0693,40570.52138445922
600475,11921.75226,25070.686931859236
600523,48407.17173,87390.35907979822
600506,27213.14493,40904.074217299174
688,74377.67839,101257.130981458
49,142133.4934,95931.37835215556
200570,3163.2768,33217.45834002213
2043,47328.08626,61846.4145975188
603227,51403.88914,45790.70810179168
600985,28260.49932,27936.706804425572
972,21510.8491,-1183.9840170168318
663,5467.18194,18656.95217577374
545,23168.91701,35798.810397620546
600165,18334.57015,37592.028350536304
600803,230826.2415,155805.14883244992
600579,50161.55786,3928.461137539998
600815,106736.4485,16560.04235932126
600876,42103.12269,47340.922129333136
600444,5505.957344,33647.12798121717
2162,20261.68613,36099.30206563795
600408,26540.13398,31190.683620037627
600103,68023.49762,75719.96223932639
600006,52990.6,46089.91837244248
683,128293.6292,110702.44439818553
600796,14578.03881,23325.846933739376
959,140038.8069,242853.13504163676
600391,35082.17108,44260.36445546581
600010,443333.1246,496992.1080419923
55,19205.79275,23675.776625903614
600265,19225.55821,38634.53491879563
2087,14218.44904,44688.375361597864
600768,1664.412851,5007.039040245989
600841,48616.54378,31210.19295404962
600761,121181.7265,11825.159729421197
822,10739.38096,11434.204398064641
600685,148382.682,118861.69849934772
300633,35397.73041,56478.206544802815
600493,19428.45408,57366.30166420271
630,268036.6251,261795.03686620947
600733,108527.6082,58793.227194826584
812,26009.83927,40650.63589061616
600156,42085.99313,55631.61566132266
2746,33086.81518,67226.98329305416
600866,28974.97829,10147.342467732378
600232,5318.818538,32631.42031355173
2263,25841.73541,59636.962582999724
600091,14159.3139,20463.299482236733
603663,42542.92767,54987.98140571016
877,166330.1965,139765.5528225411
600127,37363.13076,49246.6782545601
200012,39820.87256,47274.90594507253
932,76792.2867,198651.0127040426
600860,34127.47901,20729.173492802773
200017,1088.158943,47465.29025977373
900907,381.3406167,10686.885171662434
795,42927.33983,95707.8570379286
777,37930.84989,72412.01969612588
600189,20770.45706,14557.376166470058
600346,1145922.131,725697.2727000647
600598,235618.8397,186123.00153349468
59,155604.3683,140472.08736413077
401,257719.2728,198046.6029796946
913,-16358.48114,12884.415313380596
603311,49893.91572,60221.87358363898
761,30416.18058,75975.04611050221
600456,140426.9287,160099.75612212066
601038,22993.06982,-21102.877933551033
2144,14489.85535,57320.516544813814
2946,19034.77017,37218.791116442764
2863,4473.608973,29194.220594190992
980,2555.432607,25607.982419391745
600121,17936.55431,39340.51010404719
600281,21987.58469,23309.109977860935
600307,22890.99928,49341.803172982414
600399,52793.62975,100441.1960003642
600835,173754.1483,200290.9159780934
600818,6334.756848,25395.622221855738
848,83133.19512,84876.12059684104
600527,42899.23291,41626.08587481576
300798,9843.711139,48047.22622354957
600132,200862.8083,202900.46051913465
920,20962.52352,23581.111958082474
603477,8153.316765,44549.41209302127
2145,59186.49556,85841.79521126737
600231,43169.05203,85385.32068347203
600076,48137.52786,65411.73423219414
600416,31062.11243,81333.60067991889
780,10045.2841,37342.25276163977
2085,11528.66575,63414.24867916212
600354,29800.08155,72251.60790141392
600381,36495.91188,40977.72931808769
600543,9412.210961,42816.74580685876
600218,25250.59598,49771.13480639644
868,-3299.459381,21564.7727050659
600199,64581.62513,69416.51464589918
601106,370267.9749,28506.60418591654
603956,5293.541948,27181.68471696868
600497,180227.7623,188796.3664362342
600482,612801.6448,-33170.710553278564
2752,16459.11586,70914.12921510788
600251,46340.77107,74216.88068488927
600160,323400.1784,235634.57541090832
2048,65358.37908,43388.156897669134
600095,67129.61635,66588.89224495244
600737,330718.1967,266968.14042474574
600419,11067.01188,21247.399807010428
2461,98594.06395,73882.16604100121
955,21721.26888,51076.008237395785
723,487641.879,423387.96763456566
2805,12966.70219,30691.389846595237
600078,48123.58518,57498.65153136366
600746,2394.848819,25481.860093193303
600844,24148.39467,60825.212695732596
600117,54914.75954,51798.236138183565
600765,65206.66981,77492.28358625178
600843,7459.738676,-11165.14883492171
600741,195766.6355,223583.58859497157
603166,31923.70117,41706.51555225358
601127,88461.90894,49279.34861681296
568,1056162.445,1495713.5790857933
688009,55004.36174,61359.45116610889
601918,106857.9063,138407.79394154495
426,64971.96993,111169.1936959686
